id,name,category,address,latitude,longitude,fetched_at
757,Windermere Community Secondary,Public School,3155 E 27th Av,49.246512456067585,-123.0371743,2026-06-07T23:58:02.389447
758,Britannia Community Elementary,Public School,1110 Cotton Drive,49.27451200859733,-123.07137879542154,2026-06-07T23:58:02.389447
759,Dr H N MacCorkindale Elementary,Public School,6100 Battison St,49.22799018553298,-123.02935503511594,2026-06-07T23:58:02.389447
760,Grandview Elementary,Public School,2055 Woodland Dr,49.266193169067684,-123.0743697,2026-06-07T23:58:02.389447
761,Laura Secord Elementary,Public School,2500 Lakewood Drive,49.26173570306765,-123.06022338,2026-06-07T23:58:02.389447
762,Prince of Wales Secondary,Public School,2250 Eddington Drive,49.24498305306758,-123.15953565,2026-06-07T23:58:02.389447
763,Sir Wilfred Grenfell StrongStart Centre,StrongStart BC,3323 Wellington Av,49.242891620676865,-123.0348073745407,2026-06-07T23:58:02.389447
764,Tillicum Community Annex,Public School,2450 Cambridge St,49.28626345506777,-123.05559853,2026-06-07T23:58:02.389447
765,Vancouver Talmud Torah Elementary,Independent School,998 W 26th Av,49.2475796718668,-123.12682202118758,2026-06-07T23:58:02.389447
766,Admiral Seymour Elementary,Public School,1130 Keefer St,49.27859426906773,-123.08031429999998,2026-06-07T23:58:02.389447
767,Anchor Point Montessori,Independent School,1351 Hornby St,49.277061847359775,-123.13091892226645,2026-06-07T23:58:02.389447
768,Blessed Sacrament School,Independent School,3020 Heather St,49.2583379074734,-123.1193909103338,2026-06-07T23:58:02.389447
769,Chief Maquinna Annex,Public School,2882 E 4th Av,49.266421543067686,-123.04511809000002,2026-06-07T23:58:02.389447
770,Crosstown Elementary,Public School,55 Expo Blvd,49.27863099906775,-123.106594,2026-06-07T23:58:02.389447
771,Kerrisdale Elementary,Public School,5555 Carnarvon St,49.23616824506754,-123.17345921,2026-06-07T23:58:02.389447
772,Killarney Secondary,Public School,6454 Killarney St,49.22530010406748,-123.04415722000002,2026-06-07T23:58:02.389447
773,MacDonald StrongStart Centre,StrongStart BC,1950 E Hastings St,49.280723909067746,-123.06467911,2026-06-07T23:58:02.389447
774,Point Grey Secondary,Public School,5350 East Boulevard,49.23728903611385,-123.15343060436416,2026-06-07T23:58:02.389447
775,St John's International,Independent School,1885 W Broadway,49.2640409804403,-123.14789881614395,2026-06-07T23:58:02.389447
776,Tecumseh Annex,Public School,1551 E 37th Av,49.23711627206752,-123.07309884,2026-06-07T23:58:02.389447
