id,name,neighbourhood,facilities,latitude,longitude,fetched_at
789,,,[],49.27520910144171,-123.13205470009028,2026-06-07T23:58:00.136259
790,,,[],49.27117133124785,-123.11020229798636,2026-06-07T23:58:00.136259
791,,,[],49.21918201343499,-123.03802596851291,2026-06-07T23:58:00.136259
792,,,[],49.2661537458484,-123.06663086022768,2026-06-07T23:58:00.136259
793,,,[],49.29247508552234,-123.1311321856507,2026-06-07T23:58:00.136259
794,,,[],49.274883428249254,-123.20720526855948,2026-06-07T23:58:00.136259
795,,,[],49.27443103824132,-123.13902498971548,2026-06-07T23:58:00.136259
796,,,[],49.205671926043586,-123.05972175714153,2026-06-07T23:58:00.136259
797,,,[],49.226946797413106,-123.16422693338055,2026-06-07T23:58:00.136259
798,,,[],49.257059085115664,-123.09001097240984,2026-06-07T23:58:00.136259
799,,,[],49.26643922740094,-123.14137059626812,2026-06-07T23:58:00.136259
800,,,[],49.291952723718275,-123.05193160080069,2026-06-07T23:58:00.136259
801,,,[],49.29122755368262,-123.04402065958692,2026-06-07T23:58:00.136259
802,,,[],49.27729439295449,-123.10256707386439,2026-06-07T23:58:00.136259
803,,,[],49.29179097991502,-123.13806985439265,2026-06-07T23:58:00.136259
804,,,[],49.28560999360129,-123.13340799210071,2026-06-07T23:58:00.136259
805,,,[],49.285108685307826,-123.1283332047096,2026-06-07T23:58:00.136259
806,,,[],49.27049369499128,-123.10774369591951,2026-06-07T23:58:00.136259
807,,,[],49.219710410594026,-123.14161439152127,2026-06-07T23:58:00.136259
808,,,[],49.28378131346955,-123.04315328518366,2026-06-07T23:58:00.136259
809,,,[],49.28233812448373,-123.03969260603476,2026-06-07T23:58:00.136259
810,,,[],49.27194865634577,-123.17947790098702,2026-06-07T23:58:00.136259
811,,,[],49.240858197255186,-123.1117813665295,2026-06-07T23:58:00.136259
812,,,[],49.278496146754684,-123.23070890059056,2026-06-07T23:58:00.136259
813,,,[],49.28996391342233,-123.12113541927735,2026-06-07T23:58:00.136259
814,,,[],49.20549263348828,-123.03983995849894,2026-06-07T23:58:00.136259
815,,,[],49.205719251853985,-123.037046360125,2026-06-07T23:58:00.136259
816,,,[],49.20659243283588,-123.0369724609365,2026-06-07T23:58:00.136259
817,,,[],49.27919341873375,-123.1186791114231,2026-06-07T23:58:00.136259
818,,,[],49.26482431775257,-123.10138177731997,2026-06-07T23:58:00.136259
819,,,[],49.277095646816726,-123.2189714283763,2026-06-07T23:58:00.136259
820,,,[],49.20494542998893,-123.03714583630963,2026-06-07T23:58:00.136259
821,,,[],49.254106563843926,-123.07402495055352,2026-06-07T23:58:00.136259
822,,,[],49.27122553657843,-123.10633524720586,2026-06-07T23:58:00.136259
823,,,[],49.23374566990904,-123.16348594568844,2026-06-07T23:58:00.136259
824,,,[],49.285795046708806,-123.12054593933215,2026-06-07T23:58:00.136259
825,,,[],49.27046708503926,-123.0507625334799,2026-06-07T23:58:00.136259
826,,,[],49.23761754405308,-123.09748970687819,2026-06-07T23:58:00.136259
827,,,[],49.29233941800411,-123.12808550040174,2026-06-07T23:58:00.136259
828,,,[],49.24762496945391,-123.12358077847458,2026-06-07T23:58:00.136259
829,,,[],49.25539840032883,-123.0512645230009,2026-06-07T23:58:00.136259
830,,,[],49.2689910581561,-123.07405713696141,2026-06-07T23:58:00.136259
831,,,[],49.26952236507575,-123.13489269612614,2026-06-07T23:58:00.136259
832,,,[],49.29415718547735,-123.13439051697944,2026-06-07T23:58:00.136259
833,,,[],49.27959372479923,-123.10343179550165,2026-06-07T23:58:00.136259
834,,,[],49.273397266079066,-123.027657362099,2026-06-07T23:58:00.136259
835,,,[],49.2657423296989,-123.12433345300423,2026-06-07T23:58:00.136259
836,,,[],49.26197997482924,-123.1555658097564,2026-06-07T23:58:00.136259
837,,,[],49.26158562798952,-123.10723585202372,2026-06-07T23:58:00.136259
838,,,[],49.26642636737879,-123.09086051136107,2026-06-07T23:58:00.136259
839,,,[],49.27728342263437,-123.06804658506577,2026-06-07T23:58:00.136259
840,,,[],49.27850648628995,-123.07345932407726,2026-06-07T23:58:00.136259
841,,,[],49.21548788918521,-123.1140290825257,2026-06-07T23:58:00.136259
842,,,[],49.264842885178695,-123.12205060960227,2026-06-07T23:58:00.136259
843,,,[],49.284330029175095,-123.09966169446255,2026-06-07T23:58:00.136259
844,,,[],49.268852138134314,-123.02874272685345,2026-06-07T23:58:00.136259
845,,,[],49.26663859831312,-123.03513784186109,2026-06-07T23:58:00.136259
846,,,[],49.21230908356582,-123.1474143528423,2026-06-07T23:58:00.136259
847,,,[],49.24229347353439,-123.1042653510012,2026-06-07T23:58:00.136259
848,,,[],49.282640071926195,-123.09434722312359,2026-06-07T23:58:00.136259
849,,,[],49.243335165868416,-123.18807785532486,2026-06-07T23:58:00.136259
850,,,[],49.27882770336579,-123.08845305212708,2026-06-07T23:58:00.136259
851,,,[],49.23318550541743,-123.15709283354433,2026-06-07T23:58:00.136259
